obs,datetime
0.0,2008-03-18
0.0,2008-03-19
0.0,2008-03-20
0.0,2008-03-21
0.0,2008-03-22
0.0,2008-03-23
1.06,2008-03-24
0.0,2008-03-25
0.0,2008-03-26
0.54,2008-03-27
0.0,2008-03-28
0.4,2008-03-29
0.0,2008-03-30
0.0,2008-03-31
0.0,2008-01-04
0.0,2008-02-04
0.0,2008-03-04
0.0,2008-04-04
0.0,2008-05-04
0.0,2008-06-04
0.0,2008-07-04
0.0,2008-08-04
0.0,2008-09-04
0.0,2008-10-04
0.0,2008-11-04
0.0,2008-12-04
0.0,2008-04-13
0.0,2008-04-14
0.0,2008-04-15
0.0,2008-04-16
0.0,2008-04-17
0.0,2008-04-18
0.0,2008-04-19
0.0,2008-04-20
0.0,2008-04-21
0.0,2008-04-22
0.0,2008-04-23
0.0,2008-04-24
0.0,2008-04-25
0.0,2008-04-26
0.0,2008-04-27
0.0,2008-04-28
0.0,2008-04-29
0.0,2008-04-30
0.0,2008-01-05
0.0,2008-02-05
0.0,2008-03-05
0.0,2008-04-05
0.0,2008-05-05
0.0,2008-06-05
0.0,2008-07-05
0.2,2008-08-05
0.0,2008-09-05
0.0,2008-10-05
0.0,2008-11-05
0.0,2008-12-05
0.0,2008-05-13
0.0,2008-05-14
0.0,2008-05-15
0.0,2008-05-16
0.0,2008-05-17
0.0,2008-05-18
0.0,2008-05-19
0.0,2008-05-20
0.0,2008-05-21
0.0,2008-05-22
0.0,2008-05-23
0.0,2008-05-24
0.0,2008-05-25
0.0,2008-05-26
0.0,2008-05-27
0.2,2008-05-28
0.0,2008-05-29
0.0,2008-05-30
0.0,2008-05-31
0.0,2008-01-06
0.0,2008-02-06
0.0,2008-03-06
0.0,2008-04-06
0.0,2008-05-06
4.76,2008-06-06
6.53,2008-07-06
27.22,2008-08-06
27.82,2008-09-06
5.07,2008-10-06
1.05,2008-11-06
7.15,2008-12-06
0.0,2008-06-13
1.05,2008-06-14
6.5,2008-06-15
10.42,2008-06-16
0.79,2008-06-17
1.13,2008-06-18
0.0,2008-06-19
0.0,2008-06-20
0.0,2008-06-21
3.21,2008-06-22
0.0,2008-06-23
11.61,2008-06-24
2.35,2008-06-25
0.84,2008-06-26
1.17,2008-06-27
56.33,2008-06-28
7.4,2008-06-29
2.0,2008-06-30
1.37,2008-01-07
12.94,2008-02-07
0.0,2008-03-07
1.22,2008-04-07
4.08,2008-05-07
14.96,2008-07-07
13.99,2008-08-07
3.97,2008-09-07
9.27,2008-10-07
1.47,2008-11-07
0.0,2008-12-07
1.17,2008-07-13
0.65,2008-07-14
1.55,2008-07-15
15.43,2008-07-16
14.25,2008-07-17
2.91,2008-07-18
5.0,2008-07-19
4.95,2008-07-20
0.0,2008-07-21
0.0,2008-07-22
2.94,2008-07-23
15.92,2008-07-24
5.22,2008-07-25
4.93,2008-07-26
8.98,2008-07-27
17.01,2008-07-28
5.79,2008-07-29
3.54,2008-07-30
19.11,2008-07-31
9.41,2008-01-08
7.59,2008-02-08
0.0,2008-03-08
22.48,2008-04-08
1.96,2008-05-08
4.21,2008-06-08
1.47,2008-07-08
76.4,2008-08-08
62.43,2008-09-08
67.33,2008-10-08
2.64,2008-11-08
0.0,2008-12-08
0.0,2008-08-13
0.0,2008-08-14
10.62,2008-08-15
19.71,2008-08-16
23.58,2008-08-17
14.08,2008-08-18
3.61,2008-08-19
16.5,2008-08-20
16.86,2008-08-21
18.32,2008-08-22
23.96,2008-08-23
42.16,2008-08-24
17.14,2008-08-25
5.25,2008-08-26
7.01,2008-08-27
2.9,2008-08-28
0.56,2008-08-29
6.45,2008-08-30
7.97,2008-08-31
0.0,2008-01-09
0.0,2008-02-09
0.63,2008-03-09
5.87,2008-04-09
0.0,2008-05-09
0.51,2008-06-09
0.0,2008-07-09
0.0,2008-08-09
1.25,2008-09-09
9.93,2008-10-09
1.52,2008-11-09
0.0,2008-12-09
7.74,2008-09-13
87.47,2008-09-14
0.63,2008-09-15
23.23,2008-09-16
124.64,2008-09-17
203.6,2008-09-18
15.04,2008-09-19
0.0,2008-09-20
0.34,2008-09-21
0.0,2008-09-22
1.35,2008-09-23
0.0,2008-09-24
0.0,2008-09-25
0.0,2008-09-26
0.0,2008-09-27
0.0,2008-09-28
0.0,2008-09-29
3.95,2008-09-30
0.0,2008-01-10
0.0,2008-02-10
0.0,2008-03-10
0.0,2008-04-10
0.63,2008-05-10
0.0,2008-06-10
0.2,2008-07-10
0.0,2008-08-10
0.0,2008-09-10
