idates,imonths,iyears,obs,meanmod,stdmod
20,10,2007,0.0,0.7,0.18
21,10,2007,0.0,0.0,0.0
22,10,2007,0.0,0.0,0.0
23,10,2007,0.0,0.0,0.0
24,10,2007,0.0,0.0,0.0
25,10,2007,0.0,0.0,0.0
26,10,2007,0.0,0.0,0.0
27,10,2007,0.0,0.0,0.0
28,10,2007,0.0,0.0,0.0
29,10,2007,0.0,0.0,0.02
30,10,2007,0.0,11.82,5.6
31,10,2007,0.0,1.71,1.07
1,11,2007,0.0,0.02,0.04
2,11,2007,0.0,2.92,0.64
3,11,2007,0.0,7.72,2.23
4,11,2007,0.0,6.02,1.0
5,11,2007,0.0,0.0,0.0
6,11,2007,0.0,0.0,0.0
7,11,2007,0.0,0.0,0.0
8,11,2007,0.0,0.0,0.0
11,11,2007,0.0,0.0,0.0
12,11,2007,0.0,0.02,0.05
13,11,2007,0.0,0.0,0.0
14,11,2007,0.0,0.0,0.0
15,11,2007,0.0,0.0,0.0
16,11,2007,0.0,0.02,0.01
17,11,2007,0.0,0.0,0.0
18,11,2007,0.0,0.0,0.0
19,11,2007,0.0,0.03,0.03
20,11,2007,0.0,0.0,0.0
21,11,2007,0.0,0.0,0.0
22,11,2007,0.0,0.0,0.0
23,11,2007,0.0,0.0,0.0
24,11,2007,0.0,0.0,0.0
25,11,2007,0.0,0.0,0.0
26,11,2007,0.0,0.0,0.0
27,11,2007,0.0,0.0,0.0
28,11,2007,0.0,0.0,0.0
29,11,2007,0.0,0.0,0.0
30,11,2007,0.0,0.0,0.0
1,12,2007,0.0,0.0,0.0
2,12,2007,0.0,0.0,0.0
3,12,2007,0.0,0.0,0.0
4,12,2007,0.0,0.0,0.0
5,12,2007,0.0,0.0,0.0
6,12,2007,0.0,0.0,0.0
8,12,2007,0.0,0.01,0.01
9,12,2007,0.0,0.01,0.01
10,12,2007,0.0,0.0,0.0
11,12,2007,0.0,0.0,0.0
12,12,2007,0.0,0.0,0.01
13,12,2007,0.0,0.0,0.0
14,12,2007,0.0,0.23,0.28
15,12,2007,0.0,0.07,0.14
16,12,2007,0.0,0.0,0.0
17,12,2007,0.0,0.0,0.0
18,12,2007,0.0,0.0,0.0
19,12,2007,0.0,0.0,0.0
20,12,2007,0.0,0.0,0.0
21,12,2007,0.0,0.0,0.0
22,12,2007,0.0,0.0,0.0
23,12,2007,0.0,0.0,0.0
24,12,2007,0.0,0.0,0.0
25,12,2007,0.0,0.0,0.0
26,12,2007,0.0,0.0,0.0
27,12,2007,0.0,0.0,0.0
28,12,2007,0.0,0.0,0.0
29,12,2007,0.0,0.0,0.0
30,12,2007,0.0,0.0,0.0
31,12,2007,0.0,0.0,0.0
1,1,2008,0.0,0.0,0.0
2,1,2008,0.0,0.0,0.0
3,1,2008,0.0,0.0,0.0
4,1,2008,0.0,0.0,0.0
5,1,2008,0.0,0.0,0.0
6,1,2008,0.0,0.0,0.0
7,1,2008,0.0,0.0,0.0
8,1,2008,0.0,0.0,0.0
9,1,2008,0.0,0.0,0.0
10,1,2008,0.0,0.0,0.0
11,1,2008,0.0,0.0,0.0
12,1,2008,0.0,0.0,0.0
13,1,2008,0.0,0.0,0.0
14,1,2008,0.0,0.0,0.0
15,1,2008,0.0,0.0,0.0
16,1,2008,0.0,0.0,0.0
17,1,2008,0.0,0.0,0.0
18,1,2008,0.0,0.0,0.0
19,1,2008,0.0,0.0,0.0
20,1,2008,0.0,0.0,0.0
21,1,2008,0.0,0.0,0.0
22,1,2008,0.0,0.0,0.0
23,1,2008,0.0,0.03,0.07
24,1,2008,0.0,0.83,0.27
25,1,2008,0.54,12.55,2.72
26,1,2008,17.72,6.47,0.41
27,1,2008,16.5,0.81,0.13
28,1,2008,0.0,0.0,0.0
29,1,2008,0.0,0.0,0.0
30,1,2008,0.0,0.68,0.18
31,1,2008,0.0,0.0,0.0
1,2,2008,0.0,0.0,0.0
2,2,2008,0.0,0.0,0.0
3,2,2008,0.0,0.06,0.07
4,2,2008,0.0,1.41,0.48
5,2,2008,2.92,1.81,0.45
6,2,2008,0.0,0.96,0.22
7,2,2008,0.0,0.5,0.15
8,2,2008,0.0,5.74,3.15
9,2,2008,0.0,10.67,0.64
10,2,2008,0.0,0.79,0.19
11,2,2008,0.0,0.39,0.46
12,2,2008,0.2,0.61,0.65
13,2,2008,0.0,0.06,0.0
14,2,2008,0.0,0.0,0.0
15,2,2008,0.0,0.0,0.0
16,2,2008,0.0,0.0,0.0
17,2,2008,0.0,0.0,0.0
18,2,2008,0.0,0.0,0.0
19,2,2008,0.0,0.47,0.24
20,2,2008,0.0,0.09,0.02
21,2,2008,0.0,0.0,0.0
22,2,2008,0.0,0.0,0.0
23,2,2008,0.0,0.0,0.0
24,2,2008,0.0,0.0,0.0
25,2,2008,0.0,0.0,0.0
26,2,2008,0.0,0.0,0.0
27,2,2008,0.0,0.0,0.0
28,2,2008,0.0,0.0,0.0
29,2,2008,0.0,0.0,0.0
1,3,2008,0.0,0.0,0.0
2,3,2008,0.0,0.0,0.0
3,3,2008,0.0,0.0,0.0
4,3,2008,0.0,0.0,0.0
5,3,2008,0.0,0.0,0.0
6,3,2008,0.0,0.0,0.0
7,3,2008,0.0,0.0,0.0
8,3,2008,0.0,0.0,0.0
9,3,2008,0.0,0.0,0.0
10,3,2008,0.0,0.0,0.0
11,3,2008,0.0,0.0,0.0
12,3,2008,0.0,0.0,0.0
13,3,2008,0.0,0.01,0.02
14,3,2008,0.0,0.01,0.03
15,3,2008,0.0,0.02,0.02
16,3,2008,0.0,0.01,0.01
17,3,2008,0.0,0.0,0.0
18,3,2008,0.0,0.08,0.04
19,3,2008,0.0,14.5,4.96
20,3,2008,0.0,3.41,0.96
21,3,2008,0.0,0.34,0.2
22,3,2008,0.0,3.65,1.96
23,3,2008,0.0,38.56,15.32
24,3,2008,1.06,3.69,1.25
25,3,2008,0.0,4.61,2.2
26,3,2008,0.0,2.95,0.89
27,3,2008,0.54,1.74,0.67
28,3,2008,0.0,6.88,1.77
29,3,2008,0.4,14.94,6.13
30,3,2008,0.0,2.62,0.85
31,3,2008,0.0,2.65,1.86
1,4,2008,0.0,0.46,0.24
2,4,2008,0.0,0.06,0.05
3,4,2008,0.0,4.78,2.31
4,4,2008,0.0,2.79,2.17
5,4,2008,0.0,1.03,0.43
6,4,2008,0.0,0.08,0.06
7,4,2008,0.0,0.0,0.0
8,4,2008,0.0,0.0,0.0
9,4,2008,0.0,0.0,0.0
10,4,2008,0.0,0.0,0.0
11,4,2008,0.0,0.0,0.0
12,4,2008,0.0,0.02,0.06
13,4,2008,0.0,0.48,0.13
14,4,2008,0.0,0.0,0.01
15,4,2008,0.0,0.26,0.11
16,4,2008,0.0,0.0,0.0
17,4,2008,0.0,0.0,0.0
18,4,2008,0.0,0.0,0.0
19,4,2008,0.0,0.0,0.0
20,4,2008,0.0,0.0,0.0
21,4,2008,0.0,0.0,0.0
22,4,2008,0.0,0.0,0.0
23,4,2008,0.0,0.0,0.01
24,4,2008,0.0,0.0,0.0
25,4,2008,0.0,0.03,0.06
26,4,2008,0.0,0.0,0.0
27,4,2008,0.0,0.0,0.0
28,4,2008,0.0,0.0,0.0
29,4,2008,0.0,0.04,0.09
30,4,2008,0.0,0.57,0.48
1,5,2008,0.0,1.37,0.89
2,5,2008,0.0,0.0,0.02
3,5,2008,0.0,0.0,0.0
4,5,2008,0.0,0.05,0.04
5,5,2008,0.0,0.04,0.03
6,5,2008,0.0,0.02,0.02
7,5,2008,0.0,0.01,0.03
8,5,2008,0.2,0.0,0.0
9,5,2008,0.0,0.0,0.01
